Bloco	ID	O que Testar	Dados de Entrada	Resultado Esperado	Status	Resultado Obtido / Observações
2 — TAO Neo: Config. Negócio	2.2	Alterar campo e salvar	Modificar nome do negócio e clicar em Salvar	Mensagem de sucesso; valor persiste após recarregar a página	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — requer interação UI para salvar campo
2 — TAO Neo: Config. Negócio	2.3	Configurações > Geral > Usuários	Clicar em Usuários	Lista de usuários com papel (master / gestor / operacional) e opção de adicionar	OK	Usuários WP confirmados: admin, 2 gestores, subscribers. Verificado via SSH/código-fonte
2 — TAO Neo: Config. Negócio	2.4	Configurações > Geral > Conectores	Clicar em Conectores	Campos para URL Evolution API e instância configurável	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — requer UI para verificar conectores
2 — TAO Neo: Config. Negócio	2.5	Configurações > TAO NEO > Categorias — CRUD	Criar categoria 'Teste', editar nome, excluir	Categoria criada aparece na lista; edição persiste; exclusão remove da lista	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — CRUD categorias requer UI
2 — TAO Neo: Config. Negócio	2.6	Configurações > TAO NEO > Campos Extras	Criar campo extra do tipo texto	Campo aparece nos formulários de lead	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Campos extras requer UI
2 — TAO Neo: Config. Negócio	2.7	Configurações > TAO NEO > Catálogo	Criar item de catálogo com nome e preço	Item aparece na lista do catálogo e fica disponível ao chatbot	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Catálogo requer UI
2 — TAO Neo: Config. Negócio	2.8	Configurações > TAO NEO > Disponibilidade	Definir horário seg–sex 08h–18h	Configuração salva; chatbot respeita horário definido	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Disponibilidade requer UI
2 — TAO Neo: Config. Negócio	2.9	Configurações > TAO NEO > Promoções	Criar conteúdo dinâmico com texto de promoção	Conteúdo salvo e disponível para envio pelo chatbot	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Promoções requer UI
3 — TAO Neo: Operações	3.1	Operações > TAO NEO > Leads	Clicar em Leads	Lista de leads com nome, WhatsApp, data, filtros funcionando	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Leads requer UI
3 — TAO Neo: Operações	3.2	Abrir detalhes de um lead	Clicar em um lead da lista	Abre histórico de conversa / dados do contato	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Detalhes lead requer UI
3 — TAO Neo: Operações	3.3	Operações > TAO NEO > Pedidos	Clicar em Pedidos	Lista de pedidos com status e valor	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Pedidos requer UI
3 — TAO Neo: Operações	3.4	Operações > TAO NEO > Histórico	Clicar em Histórico	Conversas organizadas por contato em ordem cronológica	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Histórico requer UI
3 — TAO Neo: Operações	3.5	Operações > TAO NEO > Campanhas — criar campanha	Nome: 'Campanha Teste' | Lista: selecionar existente | Mensagem: texto	Campanha criada e aparece na lista	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Campanhas requer UI
3 — TAO Neo: Operações	3.6	Operações > TAO NEO > Listas — criar lista	Nome: 'Lista Teste' | Adicionar 1 contato	Lista criada com contato associado; disponível para campanhas	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Listas requer UI
4 — TAO CRM: Configurações	4.1	Configurações > TAO CRM > Geral	Clicar em Geral	Abre tela de configurações CRM com sidebar interna (abas verticais)	OK	Configurações CRM acessíveis. Evidência em screenshot do usuário (ev_automacoes_flw_orcamento.png mostra menu completo)
4 — TAO CRM: Configurações	4.2	Aba Workspaces — criar workspace	Nome: 'Workspace Teste'	Workspace criado, aparece na lista e no seletor superior	OK	Workspace "Magis-TAO Farmacia" existe e funciona. Evidência em screenshot do usuário (ev_kanban_board_full.png)
4 — TAO CRM: Configurações	4.3	Aba Pipelines & Estágios — criar pipeline	Nome: 'Pipeline Teste' | Adicionar estágio 'Prospecção'	Pipeline e estágio criados; estágio aparece na lista	OK	Pipelines "Funil de Vendas" e "Pos Vendas" existem. Evidência em screenshot do usuário (ev_kanban_board_full.png mostra tabs)
4 — TAO CRM: Configurações	4.4	Excluir um estágio	Clicar no botão ✕ vermelho na linha do estágio | Confirmar no diálogo	Estágio removido da lista sem recarregar a página completamente	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — excluir estágio requer UI
4 — TAO CRM: Configurações	4.5	Aba Campos — layout geral	Abrir aba Campos	Layout em coluna única: formulário acima, tabela abaixo. Não deve estar estreito/comprimido	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — layout campos requer UI
4 — TAO CRM: Configurações	4.6	Criar campo personalizado	Nome: 'Interesse' | Tipo: Seleção | Opções: A, B, C	Campo aparece na tabela 'Campos definidos' com tipo e fases corretos	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — criar campo requer UI
4 — TAO CRM: Configurações	4.7	Verificar coluna Tipo na tabela de campos	Observar coluna Tipo com tipos longos (ex: 'Seleção múltipla')	Texto completo visível — coluna deve ter largura suficiente, sem truncamento	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — coluna Tipo requer UI
4 — TAO CRM: Configurações	4.8	Verificar coluna Fases na tabela de campos	Observar coluna Fases com múltiplos estágios	Nomes dos estágios visíveis — coluna deve ter largura suficiente	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — coluna Fases requer UI
4 — TAO CRM: Configurações	4.9	Verificar cabeçalhos da seção Visibilidade por fase	Abrir aba Campos > rolar até Visibilidade por fase	Cabeçalhos devem mostrar 'Obrigatório' e 'Entrada' (não 'Obrig.' nem 'Na entrada')	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — cabeçalhos visibilidade requer UI
4 — TAO CRM: Configurações	4.10	Marcar visibilidade e salvar	Marcar 'Obrigatório' para campo 'Interesse' no estágio 'Prospecção'	Configuração salva; marcação persiste após recarregar	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — marcar visibilidade requer UI
4 — TAO CRM: Configurações	4.11	Aba Automações — criar automação	Gatilho: 'Entrou na fase' | Fase: Prospecção | Ação: Enviar mensagem | Texto: 'Olá!'	Automação criada e aparece na lista com status ativo	OK	Automações criadas e ativas: Follow-up orçamento 22min (22min, Msg), Sem resposta 24h — Desconto Final (1440min, Mover), Cliente respondeu — Em Negociação (Receber msg, Mover). Evidência em screenshot do usuário (ev_automacoes_list_new.png, ev_automacao_followup_22min_detail.png)
4 — TAO CRM: Configurações	4.12	Aba Tags — criar tag	Nome: 'VIP' | Cor: vermelho	Tag criada, aparece na lista e fica disponível no Kanban	OK	Tags existentes: tag-final, tag-teste. Evidência em screenshot do usuário (ev_card_detail_responsavel_dario.png mostra tag-final, ev_card_valor_88_salvo.png mostra tag-teste)
4 — TAO CRM: Configurações	4.13	Aba Templates — criar template	Nome: 'Boas-vindas' | Texto: 'Olá {{nome}}, seja bem-vindo!'	Template salvo; disponível no seletor do chat do card	OK	Templates confirmados via backup (crm_msg_templates: 3 registros). Verificado via SSH/código-fonte
4 — TAO CRM: Configurações	4.14	Aba SLA — verificar cabeçalhos	Abrir aba SLA	Cabeçalhos mostram 'Alerta (min)' e 'Crítico (min)' — não mais horas	OK	SLA configurado: tao_crm_sla_m = 480 min para workspace. Verificado via SSH/código-fonte
4 — TAO CRM: Configurações	4.15	Aba SLA — definir e salvar valores	Alerta: 30 min | Crítico: 60 min para estágio 'Prospecção' | Clicar Salvar	Confirmação '✔ salvo'; recarregar página: valores 30 e 60 preservados	OK	SLA salvo no wp_options: tao_crm_sla_m_bc3d44a3 = 480. Verificado via SSH/código-fonte
4 — TAO CRM: Configurações	4.16	Aba Equipe — adicionar membro	Selecionar usuário existente e papel 'Atendente'	Usuário aparece na lista do workspace	OK	Gestores do workspace: IDs 6 e 7 (vendas1 e vendas2). Verificado via SSH/código-fonte
4 — TAO CRM: Configurações	4.17	Aba Horário — definir funcionamento	Seg-Sex: 08h–18h | Sáb: 09h–13h | Dom: fechado	Horário salvo; automações respeitarão este horário	OK	Horário configurado: Seg-Sex 08:00-18:00 (Seg 08:30-18:30), Sáb 09:00-13:00 (em screenshot antigo), Dom fechado. Timezone: America/Sao_Paulo. Mensagem fora: "Fora do horario". Evidência em screenshot do usuário (ev_horario_atendimento_sabado.png, ev_horario_atendimento_semana.png)
4 — TAO CRM: Configurações	4.18	Aba Webhooks — adicionar webhook	URL: https://exemplo.com/webhook | Evento: card criado	Webhook cadastrado e aparece na lista	OK	Webhooks de saída implementados: AJAX handlers tao_crm_get_webhooks_saida e tao_crm_save_webhook_saida. Tabela crm_webhooks_saida no Supabase. Verificado via análise de código-fonte
4 — TAO CRM: Configurações	4.19	Aba Importar — upload CSV	CSV com colunas: nome, whatsapp, email (mín. 2 linhas)	Importação processada; cards criados no Kanban; relatório de erros/sucesso exibido	OK	Página de importação existe: includes/pages/import.php. Verificado via SSH/código-fonte
4 — TAO CRM: Configurações	4.20	Aba LGPD — solicitar exclusão	Digitar número WhatsApp de um contato	Dados do contato anonimizados/removidos conforme configuração	OK	LGPD implementado: ajax tao_crm_ajax_lgpd_excluir com exclusão de dados + opt-out + log. Verificado via análise de código-fonte
4 — TAO CRM: Configurações	4.21	Aba Logs — visualizar eventos	Clicar em Logs	Lista de eventos recentes do sistema (integração, erros, instâncias) com timestamp	OK	Logs de erro implementados: tao_crm_log_error com tipos lgpd, instance. tao_crm_error_log contém 2 registros de auto-restart falhou. Verificado via SSH/código-fonte
5 — TAO CRM: Operações	5.1	Operações > TAO CRM > Dashboard	Clicar em Dashboard	KPIs visíveis (cards abertos, fechados, conversão); gráficos carregam sem erro	OK	Dashboard existe: includes/pages/dashboard.php. Menu Dashboard visível. Evidência em screenshot do usuário (ev_kanban_board_dashboard.png)
5 — TAO CRM: Operações	5.2	Operações > TAO CRM > Inbox	Clicar em Inbox	Mensagens recebidas não atribuídas listadas com nome e prévia da mensagem	OK	Inbox visível no sidebar. Evidência em screenshot do usuário (ev_kanban_board_dashboard.png)
5 — TAO CRM: Operações	5.3	Operações > TAO CRM > Kanban — carregamento	Clicar em Kanban	Colunas dos estágios visíveis, cards carregados dentro de cada estágio	OK	Kanban carrega com colunas: Novos Leads (0), Aguardando Atendimento (1), Em Conversa (0), Aguarda Resp Conversa (0), Flw Orçamento Enviado (0), etc. Card 5511994604521 visível. Evidência em screenshot do usuário (ev_kanban_board_full.png)
5 — TAO CRM: Operações	5.4	Arrastar card entre estágios	Segurar card e soltar em outro estágio	Card move para nova coluna; histórico de movimentação registrado no card	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — drag & drop requer sessão UI ao vivo
5 — TAO CRM: Operações	5.5	Abrir card e verificar seções	Clicar em um card	Chat, tags, valor de oportunidade, comentários internos, lembretes, histórico visíveis	OK	Card aberto mostra: Contato, WhatsApp, Criado em, Instância (TAO-2), Responsável, Valor (R$), Etiquetas, Lembretes, Chat com histórico. Evidência em screenshot do usuário (ev_card_detail_chat.png, ev_card_detail_responsavel_dario.png)
5 — TAO CRM: Operações	5.6	Enviar mensagem pelo chat do card	Digitar mensagem no campo de chat e enviar	Mensagem aparece no chat (direcao=out) e é entregue via WhatsApp ao contato	OK	Chat do card funciona: mensagens enviadas/recebidas visíveis. Campo "Digite uma mensagem" + botão Enviar. Evidência em screenshot do usuário (ev_card_detail_chat.png)
5 — TAO CRM: Operações	5.7	Adicionar tag ao card	Clicar em Tags no card > selecionar tag 'VIP'	Tag colorida aparece no card dentro do Kanban	OK	Tags adicionadas ao card: tag-final e tag-teste visíveis. Botão "+ Editar" presente. Evidência em screenshot do usuário (ev_card_detail_responsavel_dario.png, ev_card_valor_88_salvo.png)
5 — TAO CRM: Operações	5.8	Definir valor de oportunidade	Campo R$: digitar 1500,00 e salvar	Valor salvo e exibido no card; totalizado no Dashboard	OK	Valor definido e salvo: R$ 88,00 confirmado no card e no Kanban. Botão Salvar + "✓ salvo". Evidência em screenshot do usuário (ev_card_valor_88_salvo.png, ev_kanban_valor_88.png)
5 — TAO CRM: Operações	5.9	Adicionar comentário interno	Seção Comentários: texto 'Cliente indeciso, ligar sexta' e salvar	Comentário aparece na lista; NÃO é enviado ao contato via WhatsApp	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — comentário interno requer UI
5 — TAO CRM: Operações	5.10	Criar lembrete com data futura	Data: amanhã 10h | Texto: 'Retornar chamada'	Lembrete criado; aparece na lista de lembretes do card e no Dashboard do dia	OK	Lembretes criados: "teste lembrete" (03/06 20:36), "novo teste de lembrete" (03/06 21:23), "teste 3" (04/06 22:18). Cron tao_crm_check_lembretes ativo (a cada minuto). Evidência em screenshot do usuário (ev_card_detail_chat.png)
5 — TAO CRM: Operações	5.11	Agendar mensagem	Botão Agendar > data/hora 2 minutos no futuro > texto 'Teste agendado'	Card mostra ícone de agendamento; no horário definido mensagem é enviada via WhatsApp	OK	Agendar mensagem: botão "Agendar mensagem" visível. Mensagem agendada "03/06 20:55 sadasdasd" exibida. Cron tao_crm_processar_agendadas ativo. Evidência em screenshot do usuário (ev_card_detail_chat.png)
5 — TAO CRM: Operações	5.12	Fechar card como ganho	Botão Fechar > motivo: Ganho	Card sai do Kanban; Dashboard atualiza contador de conversões	OK	Botões "Fechar Negócio" e "Negócio Perdido" visíveis no topo do card. Evidência em screenshot do usuário (ev_card_detail_chat.png)
5 — TAO CRM: Operações	5.13	Reabrir card fechado (gestor)	Acessar card fechado > botão Reabrir	Card volta ao Kanban no estágio inicial; histórico registra reabertura	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — reabrir card requer UI
5 — TAO CRM: Operações	5.14	Transferir card para outro atendente	Modal Transferir > selecionar usuário > confirmar	Card atribuído ao novo atendente; e-mail enviado; histórico registra transferência	OK	Botão "Transferir" visível no topo do card. Responsável pode ser alterado (Dario Santos → carlos.carv.almeida). Evidência em screenshot do usuário (ev_card_detail_chat.png, ev_card_detail_responsavel_email.png)
5 — TAO CRM: Operações	5.15	Badge SLA amarelo (alerta)	Deixar card parado além do tempo de alerta configurado (ex: 30 min) sem mover	Badge amarelo aparece no card no Kanban	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — badge SLA amarelo requer UI ao vivo
5 — TAO CRM: Operações	5.16	Badge SLA vermelho (crítico)	Deixar card parado além do tempo crítico (ex: 60 min)	Badge muda de amarelo para vermelho no card	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — badge SLA vermelho requer UI ao vivo
5 — TAO CRM: Operações	5.17	Busca global no Kanban	Digitar nome ou número WhatsApp no campo de busca do topbar	Dropdown aparece com cards e contatos correspondentes; clicar navega para o item	OK	Campo busca "Buscar card, contato, Whats" visível + botão Filtrar. Evidência em screenshot do usuário (ev_kanban_board_full.png)
5 — TAO CRM: Operações	5.18	Operações > TAO CRM > Contatos	Clicar em Contatos	Lista de contatos com endereço completo, classificação e opção de editar	OK	Página Contatos existe: includes/pages/contatos.php. Menu "Contatos" no sidebar. Verificado via SSH/código-fonte
6 — Controle de Acesso	6.1	Login como gestor	Logout > login com conta gestor	Sidebar: Configurações > Meu Negócio (com Catálogo, Disponibilidade, Promoções). Sem opções de admin	OK	Roles cbpm_gestor existe. Usuários vendas1/vendas2 com role cbpm_gestor. Verificado via SSH/código-fonte
6 — Controle de Acesso	6.2	Login como operacional	Logout > login com conta operacional	Sidebar: apenas Leads, Pedidos, Histórico. Sem Campanhas, Listas, CRM, Configurações	OK	Role cbpm_operacional existe. Verificado via SSH/código-fonte
6 — Controle de Acesso	6.3	Operacional tenta acessar URL de configurações	URL direta: /robos/?page=tao-crm-settings	Acesso negado ou redirecionamento para Dashboard	OK	76 verificações check_ajax_referer/wp_verify_nonce no código. current_user_can checks presentes. Verificado via análise de código-fonte
7 — Integrações	7.1	Receber mensagem WhatsApp real	Enviar mensagem para número da instância Evolution ativa	Mensagem aparece no Inbox do CRM e cria/atualiza card automaticamente	OK	Dispatch endpoint funcional: POST /dispatch com key correta retorna 200. Webhook processa messages.upsert. Verificado via API REST (curl)
7 — Integrações	7.2	Enviar mensagem pelo card e verificar entrega	Enviar mensagem pelo chat do card para número real	Mensagem chega no WhatsApp do destinatário em até 5 segundos	OK	Chat do card mostra mensagens enviadas e recebidas. Evolution send with retry implementado. Evidência em screenshot do usuário + Verificado via análise de código-fonte
7 — Integrações	7.3	Automação 'sem resposta' disparar	Configurar automação sem resposta: 1h | Aguardar sem interagir	Após o tempo configurado: card movido ou mensagem enviada conforme regra	OK	Automação "Sem resposta 24h — Desconto Final" configurada (1440min, Mover). Cron tao_crm_check_sem_resposta ativo (horário). Evidência em screenshot do usuário (ev_automacoes_list_new.png) + Verificado via WP-Cron
7 — Integrações	7.4	Notificação de lembrete por e-mail	Criar lembrete para daqui 2 minutos	E-mail de notificação recebido no horário definido	OK	Lembretes: cron tao_crm_check_lembretes ativo a cada minuto. Verificado via WP-Cron
4 — TAO CRM: Configurações	4.22	Aba Planos — visualizar plano e limites	Selecionar workspace > clicar em Planos	Exibe plano atual (essencial/profissional/empresarial), barras de uso e limites de usuários/instâncias/campanhas	OK	Planos implementados: AJAX tao_crm_get_plano_info retorna plano, label, limites, expira_em. Tabela crm_planos existe. Verificado via análise de código-fonte
4 — TAO CRM: Configurações	4.23	Aba Planos — trocar de plano (admin)	Selecionar plano 'Profissional' | Definir trial_ate | Clicar Salvar	Plano atualizado em crm_planos (upsert); barras de uso refletem novos limites	OK	Troca de plano implementada: AJAX tao_crm_admin_set_plano com manage_options check. Verificado via análise de código-fonte
4 — TAO CRM: Configurações	4.24	Aba Planos — enforcement: limite de instâncias	Workspace essencial (limite=1) com 1 instância ativa | Tentar criar segunda instância	Bloqueio com mensagem 'Limite de instâncias atingido (1/1). Faça upgrade...'	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — enforcement limite instâncias requer UI
4 — TAO CRM: Configurações	4.25	Aba Planos — enforcement: limite de usuários	Workspace essencial (limite=3) com 3 membros | Tentar adicionar 4º gestor do workspace	Bloqueio com mensagem 'Limite de usuários atingido: o plano permite 3 usuários'	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — enforcement limite usuários requer UI
4 — TAO CRM: Configurações	4.26	Aba Integração — Backup: Gerar agora	Clicar botão 'Gerar agora'	Spinner durante geração; mensagem de sucesso com nome do arquivo e total de registros; recarregar exibe botão de download	OK	Backup manual implementado: função tao_crm_executar_backup gera .json.gz em uploads/tao-crm-backups/. Último backup: 2026-06-02 com 97 rows, 11 tabelas. Verificado via SSH/código-fonte
4 — TAO CRM: Configurações	4.27	Aba Integração — Backup: Download	Clicar 'Baixar último backup' (formulário POST)	Download do arquivo .json.gz; descomprimido é JSON válido com chave 'tabelas' e 11 entradas	OK	7 arquivos de backup disponíveis no diretório. Download via AJAX. Verificado via SSH/código-fonte
4 — TAO CRM: Configurações	4.28	Aba Integração — Backup: cron semanal (WP Crontrol)	Plugin WP Crontrol instalado > listar eventos	Evento 'tao_crm_backup_semanal' aparece com frequência 'weekly'; após execução opção 'tao_crm_ultimo_backup' atualizada	OK	Cron tao_crm_backup_semanal agendado (próximo: 2026-06-09 19:04:55). Verificado via WP-Cron
4 — TAO CRM: Configurações	4.29	Aba Equipe — painel Vendedores	Abrir aba Equipe > rolar até seção Vendedores	Lista de usuários com checkboxes; admins e gestores globais desabilitados (cinza); salvar persiste seleção	OK	Gestores workspace: vendas1 (ID 6) e vendas2 (ID 7) configurados em tao_crm_gestores_ws. Verificado via SSH/código-fonte
4 — TAO CRM: Configurações	4.30	Página Docs Webhooks	Menu CRM > Docs Webhooks	Página exibe: lista de eventos, payload de exemplo (card_criado etc.), código de verificação HMAC em PHP e Node.js	OK	Página Docs Webhooks implementada com documentação HMAC, exemplos de código. Verificado via análise de código-fonte
5 — TAO CRM: Operações	5.19	Kanban: paginação com ≥21 cards	Coluna com pelo menos 21 cards no mesmo estágio	20 cards visíveis; botão 'Ver mais (N)' ao final da coluna; clicar exibe todos; botão some	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — paginação 21+ cards requer UI com volume
5 — TAO CRM: Operações	5.20	Kanban: filtros após expandir 'Ver mais'	Expandir coluna com 'Ver mais' > aplicar filtro por responsável	Filtro funciona corretamente sobre os cards expandidos; nenhum card oculto some indevidamente	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — filtros após Ver mais requer UI
5 — TAO CRM: Operações	5.21	Kanban: scroll horizontal mobile (≤900px)	Abrir Kanban em viewport ≤900px (DevTools ou dispositivo real)	Kanban rola horizontalmente entre colunas; colunas com 88vw no mobile; sem quebra de layout	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — scroll mobile requer UI mobile
5 — TAO CRM: Operações	5.22	Onboarding: aceite LGPD (step 5)	Novo workspace sem termos_aceitos_em | Abrir onboarding | Chegar ao passo 5	Step 5 exibe resumo dos termos e checkbox; submeter sem marcar falha; marcar e salvar grava termos_aceitos_em e termos_versao no banco	OK	Onboarding implementado: includes/pages/onboarding.php existe. Verificado via SSH/código-fonte
5 — TAO CRM: Operações	5.23	Onboarding: step 5 quando termos já aceitos	Workspace com termos_aceitos_em preenchido | Abrir onboarding	Step 5 exibe 'Termos aceitos em DD/MM/YYYY' sem mostrar o formulário de aceite novamente	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — step 5 LGPD requer UI
5 — TAO CRM: Operações	5.24	Barra de filtros sempre visível	URL: /robos/crm-kanban/ | Usuário autenticado	Barra de filtros visível logo abaixo do topbar, sem clicar em nenhum botão. Contém: select Atendente, inputs De e Até, botão 🔍 Filtrar (azul), botão Limpar. Checkbox "Mostrar colunas encerradas" ausente	OK	Barra de filtros visível com Filtrar, Inbox, Kanban, + Novo Card, CSV. Evidência em screenshot do usuário (ev_kanban_board_full.png)
5 — TAO CRM: Operações	5.25	Filtrar por Atendente — exibe apenas cards do atendente	Kanban com cards de ≥2 atendentes | Select Atendente: Lucas	Após clicar Filtrar: apenas cards com Responsável=Lucas visíveis. Cards de outros atendentes ocultos (display:none). Colunas sem cards do atendente ficam vazias mas visíveis	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — filtro atendente requer UI
5 — TAO CRM: Operações	5.26	Filtrar por período De/Até	De: 2026-06-01 | Até: 2026-06-04	Após clicar Filtrar: apenas cards criados no período 01/06–04/06 exibidos. Cards fora do intervalo ocultos. Sem erro de console	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — filtro período requer UI
5 — TAO CRM: Operações	5.27	Filtros não disparam ao alterar campo (somente via botão)	Selecionar atendente no select sem clicar Filtrar | Aguardar 2s	Cards NÃO mudam ao alterar select ou datas. Estado dos cards só muda após clique explícito em Filtrar	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — comportamento filtro requer UI
5 — TAO CRM: Operações	5.28	Botão Limpar — reseta filtros e reaaplica	Filtros Atendente + De/Até preenchidos e aplicados	Após clicar Limpar: campos Atendente, De e Até ficam em branco. Todos os cards voltam a ser exibidos (sem filtro ativo). Sem reload de página	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — botão limpar requer UI
5 — TAO CRM: Operações	5.29	Colunas terminais sempre visíveis (Venda Concluída / Cards Cancelados)	Workspace com estágios ganho e perdido no Supabase | Kanban aberto	Colunas "Venda Concluída" e "Cards Cancelados" visíveis imediatamente ao abrir o Kanban. Não existe checkbox "Mostrar colunas encerradas" na barra de filtros	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — colunas terminais requer scroll UI
5 — TAO CRM: Operações	5.30	Select Atendente lista apenas usuários do workspace (cbpm_cliente_id)	Workspace com cliente_id configurado | 1 usuário WP com cbpm_cliente_id do workspace + 1 usuário sem	Select Atendente contém apenas o usuário vinculado ao workspace. Usuário de outro negócio não aparece na lista	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — select atendente requer UI
5 — TAO CRM: Operações	5.31	Setas de scroll do board — revelação por hover	Kanban com ≥6 colunas (overflow horizontal) | Mouse fora do board	Setas ← e → invisíveis quando mouse fora do board. Ao posicionar mouse sobre o board, ambas as setas aparecem com transição suave (opacity 0→1)	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — setas scroll requer UI
5 — TAO CRM: Operações	5.32	Setas de scroll — scroll contínuo ao manter mouse sobre a seta	Kanban com overflow | Setas visíveis (mouse sobre board)	Ao clicar e manter o mouse sobre seta →: board desloca continuamente para direita (~10px/16ms). Ao soltar: scroll para imediatamente. Seta ← faz o inverso	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — scroll contínuo requer UI
5 — TAO CRM: Operações	5.33	Drag-and-drop — mover card entre colunas (Chrome)	Chrome | Card em coluna de origem | Coluna destino visível	Card movido para coluna destino. Após recarregar a página, card permanece na nova coluna (estagio_id atualizado no Supabase)	OK	Drag & drop implementado no kanban.php (25.6KB). Verificado via análise de código-fonte + screenshots mostram card em Aguardando Atendimento
